39;298
167;811
433;449
2;332
39;245
813;821
204;273
39;245
223;545
268;684
332;813
245;266
190;263
246;298
290;298
298;734
166;298
290;734
166;290
166;734
579;777
772;777
399;777
579;772
399;579
399;772
772;777
399;777
399;772
537;1105
1105;1293
537;1293
219;261
261;693
89;526
267;515
267;545
267;545
348;545
161;751
44;266
39;245
183;199
173;183
183;231
173;199
199;231
173;231
290;700
192;1063
550;813
245;1123
579;772
399;579
399;772
1021;1061
219;236
173;550
260;1287
1026;1317
399;772
161;183
242;246
576;1368
576;941
183;199
183;231
199;231
44;46
44;987
987;1286
44;1286
39;245
39;165
260;272
267;515
192;482
266;592
190;263
2;264
537;1105
332;1105
332;537
199;231
183;199
183;231
39;245
192;1099
173;199
219;332
268;785
44;515
223;1018
204;245
204;572
39;204
245;572
39;245
39;572
183;199
39;245
161;821
986;1049
219;332
219;693
219;526
219;751
332;693
332;526
332;751
526;693
693;751
526;751
166;572
332;1021
219;332
204;272
166;245
161;655
944;986
173;550
223;1123
332;537
332;813
332;526
526;813
204;264
261;264
264;526
204;261
204;526
261;526
251;494
263;266
245;263
199;821
1021;1063
260;957
772;777
399;777
399;772
261;1190
1316;1317
986;1293
167;515
332;811
811;813
332;813
332;1105
165;204
180;251
576;1197
39;245
579;772
684;772
415;1246
190;263
433;449
245;263
39;245
2;247
1247;1287
1031;1247
1031;1287
758;1067
168;180
1026;1293
245;263
247;1293
551;986
332;387
1138;1293
247;1138
247;1293
197;246
348;572
1026;1316
332;1026
332;1316
1316;1333
684;772
247;261
579;772
399;579
399;772
200;537
190;245
235;260
180;200
251;494
251;451
451;494
39;245
261;332
58;142
423;1049
219;332
1018;1023
172;1287
246;298
693;1105
165;245
39;165
39;245
1317;1342
192;1021
167;266
39;245
39;245
2;526
944;1029
245;246
263;542
245;1123
166;260
899;1031
89;537
89;332
332;537
39;245
190;552
955;1067
167;811
550;1317
978;1031
200;545
772;785
777;785
772;777
39;245
290;1049
655;1049
290;655
245;267
251;494
39;245
267;515
58;1246
39;245
537;1035
537;1293
537;1067
1035;1293
1035;1067
1067;1293
1029;1287
1031;1249
39;245
204;266
247;537
337;1123
332;1021
191;793
167;545
167;266
165;246
39;165
39;246
241;399
337;1031
173;183
700;944
161;199
772;777
399;777
399;772
247;758
261;747
180;486
1105;1293
267;515
1049;1099
449;451
168;191
199;231
551;793
39;245
987;1349
263;793
204;793
245;793
167;793
204;263
245;263
167;263
204;245
167;204
167;245
332;1061
39;245
192;247
89;167
247;1317
39;245
1247;1287
550;1067
245;337
1021;1063
494;579
399;579
399;494
161;183
207;537
423;537
207;423
758;1266
190;263
449;684
39;245
579;777
268;579
579;772
268;772
332;1316
1029;1269
39;167
337;1049
39;245
387;478
199;290
247;693
247;1293
251;494
1026;1317
199;231
1018;1049
260;1049
260;1018
167;692
167;204
167;245
39;167
204;692
245;692
39;692
204;245
39;204
39;245
44;551
39;245
263;981
542;987
537;1105
1026;1105
537;1026
528;1103
227;247
268;451
1029;1269
1269;1287
1029;1287
167;515
266;552
552;572
266;572
263;981
978;1249
758;1067
2;180
2;693
180;693
399;579
550;655
1018;1023
200;537
2;332
2;478
332;478
161;199
332;758
260;337
263;337
260;263
167;204
332;1136
337;1123
944;957
190;263
245;944
455;700
39;245
684;785
772;785
684;772
263;266
219;264
261;264
219;261
251;494
167;263
204;270
191;337
251;494
247;1067
39;245
165;200
173;550
899;1061
247;1293
161;173
161;734
161;545
173;734
173;545
545;734
263;1049
433;494
579;777
772;777
399;777
579;772
399;579
399;772
245;348
251;785
494;785
251;494
693;1035
267;269
204;245
542;1031
251;494
332;1105
39;245
455;736
247;1293
1018;1247
161;199
161;183
183;199
44;551
986;1049
168;981
167;245
247;1293
332;1067
192;545
192;267
267;545
684;772
684;815
772;815
39;245
260;272
332;1316
1105;1123
332;1105
693;1105
758;1105
332;1123
693;1123
758;1123
332;693
332;758
693;758
399;777
44;551
332;537
1021;1063
332;1316
700;1269
264;486
247;1293
793;944
579;785
772;785
777;785
399;785
579;772
579;777
399;579
772;777
399;772
399;777
772;777
399;777
399;772
684;772
551;793
207;484
39;245
204;1293
204;758
758;1293
332;1316
39;192
192;987
899;978
292;1081
332;369
337;552
2;332
267;545
167;545
167;267
167;811
190;263
1105;1317
551;986
260;1287
223;332
978;1031
684;772
165;551
333;1061
266;1021
332;537
39;245
231;821
551;553
449;451
545;1083
39;245
235;692
1247;1249
550;655
1031;1049
85;142
167;811
263;793
268;684
552;572
267;275
537;813
978;1249
369;935
39;245
1052;1249
245;260
260;290
332;1026
981;1067
382;415
260;978
395;957
1026;1105
332;1105
332;1026
39;593
199;231
161;298
161;173
173;298
167;551
267;545
332;1105
223;1105
223;332
292;332
399;772
537;1293
204;551
39;245
161;183
39;245
190;245
190;246
39;190
245;246
39;245
39;246
168;193
39;245
39;245
260;332
478;526
542;1049
1269;1287
39;245
173;550
173;231
199;231
173;199
197;266
251;494
263;337
200;245
337;793
986;1063
204;987
267;515
261;978
166;260
332;1026
192;944
192;387
192;261
261;387
247;813
260;1031
199;223
183;199
183;223
1026;1105
245;1123
192;348
247;1021
161;173
576;941
700;1287
235;260
235;263
260;263
1026;1316
1049;1247
167;204
167;263
204;263
309;332
267;515
172;180
180;455
172;455
